species	common_name	Species_Taxonomy_ID	lineage	div.time	evo.time	assembly_name	NCBIcode	contig_N50_bp	scaffold_N50_bp	Intact	partially_intact	uncertain_loss	lost	missing	complete_single_copy_or_duplicated	perc_complete	fragmented	missing	complete_single_copy_or_duplicated2	%_complete2	fragmented2	missing2	with_human_reference	with_mouse_reference
Cheirogaleus_medius	Lesser dwarf lemur	9460	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Cheirogaleus	74	0.23929	HLcheMed1	GCA_008086735.1	34905	48318266	13681	2677	560	542	970	8085	0.876327769	351	790	8359	0.906026447	338	529	17549	17808
Chinchilla_lanigera	long-tailed chinchilla	34839	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Chinchillidae; Chinchilla	89	0.418225	chiLan1	GCF_000276665.1	61105	21893125	15393	1460	492	552	533	8764	0.949924127	164	298	9055	0.981465424	99	72	17856	18571
Chlorocebus_sabaeus	green monkey	60711	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Chlorocebus	29	0.0714544	chlSab2	GCF_000409795.2	90449	81825804	17086	657	472	150	65	8783	0.951983525	138	305	9105	0.986884891	54	67	19094	19021
Choloepus_didactylus	southern two-toed sloth	27675	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	102	0.341679	HLchoDid1	GCA_004027855.1	7167	7289	8847	5688	873	607	2415	3738	0.405159332	1621	3867	7063	0.765553869	816	1347	15729	13736
Choloepus_didactylus	southern two-toed sloth	27675	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	102	0.334789	HLchoDid2	GCF_015220235.1	20994632	146178362	17001	130	885	301	113	8847	0.958920442	72	307	9124	0.988944288	16	86	18446	18834
Choloepus_hoffmanni	Hoffmann's two-fingered sloth	9358	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	102	0.33421	HLchoHof3	DNA Zoo Consortium	62424	140950122	15520	1643	546	291	430	8737	0.946997615	159	330	8972	0.972469109	140	114	18112	18106
Chrysochloris_asiatica	Cape golden mole	185453	Mammalia; Theria; Eutheria; Afrotheria; Chrysochloridae; Chrysochlorinae; Chrysochloris	102	0.406808	chrAsi1	GCF_000296735.1	19631	13470186	16263	973	459	411	324	8866	0.96097984	120	240	9103	0.986668112	60	63	18090	17728
Chrysocyon_brachyurus	maned wolf	68728	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Chrysocyon	94	-	HLchrBra1	DNA Zoo Consortium	90967	60785871	16182	1076	410	388	374	8749	0.948298287	158	319	9047	0.980598309	97	82	18225	17954
Coendou_prehensilis	-	187985	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Coendou	89	0.383155	HLcoePre1	DNA Zoo Consortium	32321	42412415	13870	2690	663	663	544	7936	0.860177759	438	852	8251	0.894320399	469	506	17744	18131
Colobus_angolensis_palliatus	Angolan colobus	336983	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus; Colobus angolensis	29	0.0681091	colAng1	GCF_000951035.1	38363	7840981	14694	2412	466	352	506	8574	0.929330154	241	411	8914	0.966182528	190	122	18423	17713
Condylura_cristata	star-nosed mole	143302	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Condylura	94	0.427953	conCri1	GCF_000260355.1	46163	55520359	13913	1712	426	776	1603	8209	0.889768047	216	801	8524	0.923910687	199	503	16434	16296
Connochaetes_taurinus	brindled gnu	9927	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Connochaetes	94	0.410183	HLconTau2	DNA Zoo Consortium	68346	98098359	15559	1177	1037	392	265	8667	0.939410362	186	373	9036	0.979406026	104	86	18330	18335
Craseonycteris_thonglongyai	hog-nosed bat	208972	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Craseonycteridae; Craseonycteris	94	0.37323	HLcraTho1	GCA_004027555.1	23218	25762	14305	2206	542	664	713	6200	0.672013874	1092	1934	8607	0.932907002	276	343	17496	16720
Cricetomys_gambianus	Gambian giant pouched rat	10085	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Nesomyidae; Cricetomyinae; Cricetomys	89	0.469265	HLcriGam1	GCA_004027575.1	80761	110049	15711	1078	435	695	511	7702	0.834814654	622	902	9002	0.975720789	98	126	17689	20418
Cricetulus_griseus	Chinese hamster	10029	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Cricetulus	89	0.492354	HLcriGri3	GCF_003668045.1	2098530	19581774	17126	114	557	514	119	8912	0.965965749	67	247	9194	0.996531541	11	21	18343	21177
Crocuta_crocuta	spotted hyena	9678	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta	94	-	HLcroCro2	DNA Zoo Consortium	60238	101812163	15263	1886	452	375	454	8462	0.917190548	276	488	8743	0.947647951	258	225	18149	17837
Crocuta_crocuta	spotted hyena	9678	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta	94	0.369069	HLcroCro1	GCA_008692635.1	97873	7236831	14749	1119	1688	501	373	8696	0.942553653	200	330	9035	0.979297637	112	79	18120	18230
Cryptoprocta_ferox	fossa	94188	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Eupleridae; Euplerinae; Cryptoprocta	94	0.357599	HLcryFer2	DNA Zoo Consortium	123817	107277967	16384	972	412	472	190	8766	0.950140906	150	310	9042	0.980056362	109	75	18342	18193
Ctenodactylus_gundi	northern gundi	10166	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenodactylidae; Ctenodactylus	89	0.41908	HLcteGun1	GCA_004027205.1	218543	354548	16559	462	463	728	218	8445	0.91534793	282	499	9082	0.984391936	53	91	17967	18303
Ctenomys_sociabilis	social tuco-tuco	43321	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenomyidae; Ctenomys	89	0.478016	HLcteSoc1	GCA_004027165.1	37562	49073	15011	1612	555	625	627	6901	0.747994797	869	1456	8799	0.953717754	183	244	17626	17331
Cynomys_gunnisoni	Gunnison's prairie dog	45479	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Cynomys	89	0.337537	HLcynGun1	GCA_011316645.1	687762	824613	17214	447	490	220	59	8689	0.941794927	198	339	9084	0.984608715	67	75	18799	19772
Cynopterus_brachyotis	lesser short-nosed fruit bat	58060	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Cynopterus	94	0.357252	HLcynBra1	GCA_009793145.1	16627	251278	9601	5042	493	774	2520	6853	0.742792109	807	1566	7628	0.826793843	655	943	15568	15290
Damaliscus_lunatus	topi	9929	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Damaliscus	94	0.410788	HLdamLun1	GCA_006408505.1	38843	1166796	15691	1536	595	339	269	8586	0.930630826	237	403	8977	0.973011056	138	111	18414	18534
Dasyprocta_punctata	punctate agouti	34846	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dasyproctidae; Dasyprocta	89	0.418394	HLdasPun1	GCA_004363535.1	38650	43703	13920	2785	559	517	649	6583	0.713526989	1031	1612	8282	0.897680468	438	506	17784	18136
Dasypus_novemcinctus	nine-banded armadillo	9361	Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Dasypodidae; Dasypus	102	0.348746	dasNov3	GCF_000208655.1	26277	1687935	12648	3256	1408	323	795	8161	0.884565359	347	718	8625	0.93485801	269	332	17663	17525
Daubentonia_madagascariensis	aye-aye	31869	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Chiromyiformes; Daubentoniidae; Daubentonia	74	0.208435	HLdauMad1	GCA_004027145.1	298834	379919	17404	470	290	200	66	8528	0.924344245	269	429	9140	0.990678517	47	39	18863	19375
Delphinapterus_leucas	beluga whale	9749	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus	94	-	HLdelLeu3	DNA Zoo Consortium	179643	107969763	16185	291	768	1008	178	8760	0.94949057	128	338	9121	0.98861912	34	71	17723	17523
Delphinapterus_leucas	beluga whale	9749	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus	94	0.337046	HLdelLeu2	GCF_002288925.2	196689	31183418	16330	225	729	1037	109	8773	0.950899631	121	332	9134	0.990028181	27	65	17762	17519
Dicerorhinus_sumatrensis_sumatrensis	Sumatran rhinoceros	310712	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Dicerorhinus; Dicerorhinus sumatrensis	94	0.298389	HLdicSum1	GCA_002844835.1	89455	614498	16969	648	486	215	112	8625	0.93485801	226	375	9106	0.98699328	64	56	18786	19403
Diceros_bicornis_minor	black rhinoceros	9805	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros	94	0.297642	HLdicBic1	GCA_004027315.2	91002	14664201	17238	480	406	220	86	8906	0.965315413	85	235	9173	0.994255365	30	23	18779	19373
Didelphis_virginiana	North American opossum	9267	Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Didelphis	160	0.797807	HLdidVir1	DNA Zoo Consortium	36692	245356608	9940	2299	683	778	4730	7814	0.84695426	407	1005	7599	0.823650553	380	1247	13130	10481
Dinomys_branickii	pacarana	108858	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dinomyidae; Dinomys	89	0.444071	HLdinBra1	GCA_004027595.1	64805	77918	16166	899	553	508	304	7504	0.813353566	699	1023	9025	0.978213744	86	115	18130	18476
Dipodomys_ordii	Ord's kangaroo rat	10020	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys	89	0.434196	dipOrd2	GCF_000151885.1	48087	11931245	13332	2826	733	647	892	8291	0.898655972	339	596	8621	0.934424453	307	298	17361	17942
Dipodomys_stephensi	Stephens's kangaroo rat	323379	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys	89	0.434068	HLdipSte1	GCA_004024685.1	30710	36811	14386	1864	504	718	958	6232	0.675482333	1078	1916	8584	0.930414047	237	405	17175	17057
Dolichotis_patagonum	Patagonian cavy	29091	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Dolichotis	89	0.444934	HLdolPat1	GCA_004027295.1	27983	31026	14637	2012	581	602	598	6831	0.740407544	922	1473	8683	0.941144591	227	316	17710	17665
Dugong_dugon	dugong	29137	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Dugongidae; Dugong	102	0.341031	HLdugDug1	GCA_015147995.1	19047	31096	14850	2067	677	451	385	5858	0.634944721	1207	2161	8830	0.957077824	189	207	18052	17269
Echinops_telfairi	small Madagascar hedgehog	9371	Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Tenrecinae; Echinops	102	0.484163	echTel2	GCF_000313985.1	20428	45764842	12761	3496	512	621	1040	8312	0.900932148	291	623	8681	0.940927813	237	308	17116	16548
Eidolon_dupreanum	Malagasy straw-colored fruit bat	58063	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon	94	0.352422	HLeidDup1	DNA Zoo Consortium	108606	101563129	14674	1834	567	776	579	8183	0.886949924	336	707	8506	0.921959679	306	414	17559	17243
Eidolon_helvum	straw-colored fruit bat	77214	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon	94	0.353396	HLeidHel2	DNAZoo	12384	81966912	9151	4513	1634	924	2208	6638	0.719488402	947	1641	7321	0.793518318	848	1057	15742	14945
Elaphurus_davidianus	Pere David's deer	43332	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Elaphurus	94	0.430515	HLelaDav1	GCA_002443075.1	59950	2844142	16050	1133	558	336	353	8732	0.946455669	158	336	9096	0.985909387	68	62	18337	18536
Elephantulus_edwardii	Cape elephant shrew	28737	Mammalia; Theria; Eutheria; Afrotheria; Macroscelidea; Macroscelididae; Elephantulus	102	0.453054	eleEdw1	GCF_000299155.1	24219	15011382	15350	1259	548	516	757	8742	0.947539562	124	360	8996	0.975070453	80	150	17523	16962
Elephas_maximus	Asiatic elephant	9783	Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Elephas	102	0.35395	HLeleMax1	DNA Zoo Consortium	57119	95956831	15844	1598	472	324	192	8492	0.920442228	291	443	8839	0.958053328	229	158	18406	18478
Ellobius_lutescens	Transcaucasian mole vole	39086	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius	89	0.514613	HLellLut1	GCA_001685075.1	11648	242123	9839	3970	1690	869	2062	7752	0.840234121	597	877	8461	0.917082159	395	370	15873	18119
Ellobius_talpinus	Northern mole vole	329620	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius	89	0.511448	HLellTal1	GCA_001685095.1	8259	15246	11287	3634	791	696	2022	4950	0.536527206	1525	2751	8196	0.888358985	456	574	16072	18614
Enhydra_lutris_kenyoni	sea otter	391180	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris	94	0.3923	enhLutKen1	GCF_002288905.1	244529	38751465	17176	175	624	400	55	8903	0.964990245	77	246	9200	0.997181877	9	17	18565	18804
Enhydra_lutris_nereis	sea otter	1049777	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris	94	0.392295	enhLutNer1	GCA_006410715.1	23473	9763901	15128	1988	517	455	342	8371	0.907327119	326	529	8728	0.946022111	280	218	18200	18019
Eonycteris_spelaea	lesser dawn bat	58065	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Macroglossinae; Eonycteris	94	0.357523	HLeonSpe1	GCA_003508835.1	8002591	8002591	7709	93	7672	2871	85	8457	0.916648602	250	519	9155	0.992304357	22	49	15930	15987
Eptesicus_fuscus	big brown bat	29078	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Eptesicus	94	0.39178	eptFus1	GCF_000308155.1	21392	13454942	14711	1967	401	690	661	8705	0.943529157	192	329	9008	0.976371125	131	87	17549	17440
Eptesicus_fuscus	big brown bat	29078	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Eptesicus	94	-	HLeptFus2	DNA Zoo Consortium	18728	102216854	14723	1940	403	528	836	8709	0.943962714	184	333	9017	0.977346629	120	89	17535	17407
Equus_asinus	ass	9793	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus	94	0.307531	HLequAsi1	GCF_001305755.1	66737	3776412	15724	1425	597	228	456	8725	0.945696943	182	319	9109	0.987318448	69	48	18407	18952
Equus_asinus_asinus	ass	83772	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus; Equus asinus	94	0.307669	HLequAsiAsi2	GCA_003033725.1	134070	15144613	16456	734	843	252	145	8770	0.950574463	144	312	9103	0.986668112	58	65	18695	19200
Equus_burchellii_boehmi	-	89250	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii	94	0.306646	HLequQuaBoe1	DNA Zoo Consortium	89245	114504116	15890	1579	383	318	260	8514	0.922826794	275	437	8832	0.957294602	218	176	18495	18674
Equus_burchellii_quagga	quagga	89252	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii	94	-	HLequQua1	DNA Zoo Consortium	89245	114504116	15889	1566	391	132	452	8514	0.922826794	275	437	8832	0.957294602	218	176	18483	18706
Equus_caballus	horse	9796	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus	94	0.306995	equCab3	GCF_002863925.1	1502753	87230776	17813	95	363	138	21	8877	0.962172122	93	256	9197	0.996856709	13	16	18960	19431
Equus_przewalskii	Przewalski's horse	9798	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus	94	0.307044	equPrz1	GCF_000696695.1	57610	513800	12887	2897	1257	299	1090	8055	0.873076089	498	673	8772	0.950791242	243	211	17670	18014
Equus_zebra	mountain zebra	9791	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris	94	-	HLequZeb1	DNA Zoo Consortium	182436	150600390	17053	612	365	222	178	8771	0.950682853	139	316	9091	0.98536744	73	62	18676	18980
Erethizon_dorsatum	North American porcupine	34844	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon	89	-	HLereDor2	DNA Zoo Consortium	116534	126287952	16816	412	598	442	162	8871	0.961521786	81	274	9123	0.988835899	39	64	18395	18918
Erethizon_dorsatum	North American porcupine	34844	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon	89	0.382716	HLereDor1	GCA_006547115.1	118744	16680019	16879	390	593	457	111	8853	0.959570778	86	287	9134	0.990028181	35	57	18426	19201
Erignathus_barbatus	bearded seal	39304	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Erignathus	94	0.340899	HLeriBar1	DNA Zoo Consortium	45719	133069726	15254	1840	507	525	304	8518	0.923260351	245	463	8868	0.961196618	189	169	18175	17918
Erinaceus_europaeus	western European hedgehog	9365	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Erinaceidae; Erinaceinae; Erinaceus	94	0.489541	eriEur2	GCF_000296755.1	21359	3264618	14151	1876	499	632	1272	8639	0.936375461	210	377	8939	0.968892261	145	142	16912	16270
Erythrocebus_patas	red guenon	9538	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Erythrocebus	29	0.0715068	HLeryPat1	GCA_004027335.1	28523	34535	14207	3137	447	273	366	6015	0.651961847	1307	1904	8265	0.89583785	467	494	18653	18000
Eschrichtius_robustus	grey whale	9764	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius	94	0.330853	HLescRob1	GCA_004363415.1	68559	94414	15906	854	648	737	285	7424	0.804682419	791	1011	9010	0.976587904	109	107	17945	17729
Eschrichtius_robustus	grey whale	9764	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius	94	-	HLescRob2	DNA Zoo Consortium	66695	103007579	15833	984	660	726	227	8691	0.942011706	158	377	9003	0.975829178	95	128	18008	17819
Eubalaena_australis	Southern right whale	160595	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena	94	-	HLeubAus1	DNA Zoo Consortium	37826	112042483	15603	1109	784	669	265	8739	0.947214394	160	327	9072	0.983308042	72	82	18040	17837
Eubalaena_glacialis	North Atlantic right whale	27606	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena	94	0.32316	HLeubGla1	DNA Zoo Consortium	65390	101413572	15690	1044	690	713	293	8648	0.937350965	190	388	8971	0.97236072	129	126	17960	17672
Eubalaena_japonica	North Pacific right whale	302098	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena	94	0.325012	HLeubJap1	GCA_004363455.1	34866	39813	14982	1638	694	710	406	6677	0.723715586	1015	1534	8884	0.962930848	146	196	17842	17490
Eudorcas_thomsonii	Thomson's gazelle	69308	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Eudorcas	94	0.417838	HLeudTho1	GCA_006408755.1	137476	1581717	15899	1097	786	379	269	8667	0.939410362	201	358	9087	0.984933883	64	75	18373	18370
Eulemur_flavifrons	Sclater's lemur	87288	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	74	0.238456	HLeulFla1	DNA Zoo Consortium	26840	156661540	16220	974	500	322	414	8775	0.95111641	87	364	9036	0.979406026	54	136	18353	18347
Eulemur_flavifrons	Sclater's lemur	87288	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	74	0.236627	eulFla1	GCA_001262665.1	27331	413352	16260	981	495	276	418	8488	0.920008671	251	487	9047	0.980598309	53	126	18402	18619
Eulemur_fulvus	brown lemur	13515	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	74	0.235734	HLeulFul1	GCA_004027275.1	21310	22561	12393	4389	558	420	670	5491	0.595165836	1398	2337	7791	0.844461305	659	776	17975	17924
Eulemur_macaco	black lemur	30602	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	74	0.241037	eulMac1	GCA_001262655.1	20038	405987	15539	1532	540	257	562	8533	0.924886191	256	437	9123	0.988835899	47	56	18256	18385
Eulemur_mongoz	mongoose lemur	34828	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur	74	0.237417	HLeulMon1	DNA Zoo Consortium	37662	82429097	14320	2707	566	412	425	7942	0.860828095	462	822	8224	0.891393887	470	532	18234	18176
Eumetopias_jubatus	Steller sea lion	34886	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Eumetopias	94	0.346898	HLeumJub1	GCF_004028035.1	242372	14018600	16991	313	580	453	93	8831	0.957186213	101	294	9155	0.992304357	34	37	18475	18528
Felis_catus	domestic cat	9685	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	94	0.347179	felCat9	GCF_000181335.3	41915695	83967707	16792	71	1200	337	30	8836	0.95772816	111	279	9200	0.997181877	10	16	18660	18786
Felis_nigripes	black-footed cat	61379	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	94	0.351935	HLfelNig1	GCA_004023925.1	16007	18631	10939	4647	565	518	1761	3745	0.405918058	1876	3605	7874	0.85345762	559	793	16654	15105
Felis_nigripes	black-footed cat	61379	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	94	-	HLfelNig2	DNA Zoo Consortium	50376	139656774	15449	1847	420	370	344	8458	0.916756991	275	493	8836	0.95772816	203	187	18295	18138
Fukomys_damarensis	Damara mole-rat	885580	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Fukomys	89	0.412624	HLfukDam2	GCF_012274545.1	44756	62586000	13661	2295	751	736	987	8438	0.914589204	265	523	8804	0.954259701	225	197	17204	17844
Galeopterus_variegatus	Sunda flying lemur	482537	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Dermoptera; Cynocephalidae; Galeopterus	89	0.235527	HLgalVar2	GCA_004027255.2	34666	7885395	16332	1109	428	356	205	8765	0.950032517	128	333	9055	0.981465424	82	89	18530	18823
Giraffa_camelopardalis	giraffe	9894	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa	94	0.396781	HLgirCam2	DNA Zoo Consortium	45664	154205505	15686	1462	656	358	268	8564	0.928246261	213	449	8904	0.965098634	145	177	18381	18256
Giraffa_camelopardalis	giraffe	9894	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa	94	0.394946	HLgirCam1	GCA_006408565.1	25056	3153258	14648	1612	1241	412	517	8724	0.945588554	179	323	9140	0.990678517	56	30	18088	18156
Giraffa_tippelskirchi	-	439328	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa	94	0.396818	HLgirTip1	GCA_001651235.1	47894	212164	15724	1411	652	371	272	7929	0.859419033	498	799	8940	0.96900065	121	165	18348	18129
Glis_glis	Fat dormouse	41261	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Glirinae; Glis	89	0.341021	HLgliGli1	GCA_004027185.1	26062	30338	14258	2718	425	372	657	5189	0.562432257	1518	2519	8525	0.924019077	324	377	17976	18155
Globicephala_melas	long-finned pilot whale	9731	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Globicephala	94	-	HLgloMel2	DNA Zoo Consortium	331387	106927605	16286	221	706	1045	172	8741	0.947431173	124	361	9112	0.987643616	34	80	17710	17487
